"code";"code_parent";"description";"layer_no"
"960";"96";"Wellness en overige dienstverlening; uitvaartbranche";3
"9601";"960";"Reinigen van kleding en textiel";4
"96011";"9601";"Wasserijen en linnenverhuur";5
"96012";"9601";"Chemische wasserijen en ververijen";5
"96013";"9601";"Wassalons en -verzendinrichtingen";5
"9602";"960";"Haar- en schoonheidsverzorging";4
"96021";"9602";"Haarverzorging";5
"96022";"9602";"Schoonheidsverzorging, pedicures en manicures, visagie en image consulting";5
"9603";"960";"Uitvaartverzorging, crematoria, mortuaria en begraafplaatsen";4
"96031";"9603";"Uitvaartverzorging";5
"96032";"9603";"Crematoria, mortuaria en begraafplaatsen";5
"9604";"960";"Sauna's, solaria, baden e.d.";4
"9609";"960";"Overige dienstverlening (rest)";4
"970";"97";"Huishoudens als werkgever van huishoudelijk personeel";3
"9700";"970";"Huishoudens als werkgever van huishoudelijk personeel";4
"981";"98";"Niet-gespecificeerde productie van goederen door particuliere huishoudens voor eigen gebruik";3
"9810";"981";"Niet-gespecificeerde productie van goederen door particuliere huishoudens voor eigen gebruik";4
"982";"98";"Niet-gespecificeerde productie van diensten door particuliere huishoudens voor eigen gebruik";3
"9820";"982";"Niet-gespecificeerde productie van diensten door particuliere huishoudens voor eigen gebruik";4
"990";"99";"Extraterritoriale organisaties en lichamen";3
"9900";"990";"Extraterritoriale organisaties en lichamen";4
"01";"A";"Landbouw, jacht en dienstverlening voor de landbouw en jacht ";2
"03";"A";"Visserij en kweken van vis en schaaldieren ";2
"09";"B";"Dienstverlening voor de winning van delfstoffen ";2
"16";"C";"Primaire houtbewerking en vervaardiging van artikelen van hout, kurk, riet en vlechtwerk ( geen meubels) ";2
"17";"C";"Vervaardiging van papier, karton en papier- en kartonwaren ";2
"38";"E";"Afvalinzameling en -behandeling; voorbereiding tot recycling";2
"42";"F";"Grond-, water- en wegenbouw (geen grondverzet) ";2
"59";"J";"Productie en distributie van films en televisieprogramma´s; maken en uitgeven van geluidsopnamen";2
"69";"M";"Rechtskundige dienstverlening, accountancy, belastingadvisering en administratie ";2
"71";"M";"Architecten, ingenieurs en technisch ontwerp en advies; keuring en controle";2
"72";"M";"Speur- en ontwikkelingswerk ";2
"94";"S";"Levensbeschouwelijke en politieke organisaties, belangen- en ideële organisaties, hobbyclubs ";2
"96";"S";"Wellness en overige dienstverlening; uitvaartbranche";2
"B";"0";"Winning van delfstoffen ";1
"D";"0";"Productie en distributie van en handel in elektriciteit, aardgas, stoom en gekoelde lucht ";1
"E";"0";"Winning en distributie van water; afval- en afvalwaterbeheer en sanering ";1
"G";"0";"Groot- en detailhandel; reparatie van auto's ";1
"H";"0";"Vervoer en opslag ";1
"I";"0";"Logies-, maaltijd- en drankverstrekking ";1
"K";"0";"Financiële instellingen ";1
"M";"0";"Advisering, onderzoek en overige specialistische zakelijke dienstverlening ";1
"N";"0";"Verhuur van roerende goederen en overige zakelijke dienstverlening ";1
"P";"0";"Onderwijs ";1
"Q";"0";"Gezondheids- en welzijnszorg ";1
"T";"0";"Huishoudens als werkgever; niet-gedifferentieerde productie van goederen en diensten door huishoudens voor eigen gebruik";1
