"code";"code_parent";"description";"layer_no"
"1395";"139";"Vervaardiging van gebonden textielvlies en artikelen daarvan (geen kleding)";4
"1396";"139";"Vervaardiging van technisch en industrieel textiel";4
"1399";"139";"Vervaardiging van overige textielproducten (rest)";4
"141";"14";"Vervaardiging van kleding (geen bontkleding)";3
"1411";"141";"Vervaardiging van kleding van leer";4
"1412";"141";"Vervaardiging van werkkleding";4
"1413";"141";"Vervaardiging van overige bovenkleding";4
"1414";"141";"Vervaardiging van onderkleding";4
"1419";"141";"Vervaardiging van baby- en sportkleding en kledingaccessoires";4
"142";"14";"Vervaardiging van artikelen van bont";3
"1420";"142";"Vervaardiging van artikelen van bont";4
"143";"14";"Vervaardiging van gebreide en gehaakte kleding";3
"1431";"143";"Vervaardiging van gebreide en gehaakte kousen en sokken";4
"1439";"143";"Vervaardiging van gebreide en gehaakte kleding (geen kousen en sokken)";4
"151";"15";"Looien en bewerken van leer; vervaardiging van koffers, tassen, zadel- en tuigmakerswerk; bereiden en verven van bont";3
"1511";"151";"Looien en bewerken van leer; bereiden en verven van bont";4
"1512";"151";"Vervaardiging van koffers, tassen e.d. en van zadel- en tuigmakerswerk";4
"152";"15";"Vervaardiging van schoenen";3
"1520";"152";"Vervaardiging van schoenen";4
"161";"16";"Primaire houtbewerking en verduurzamen van hout";3
"1610";"161";"Primaire houtbewerking en verduurzamen van hout";4
"16101";"1610";"Zagen en schaven en overige primaire houtbewerking";5
"16102";"1610";"Verduurzamen van hout";5
"162";"16";"Vervaardiging van artikelen van hout, kurk, riet en vlechtwerk (geen meubels)";3
"1621";"162";"Vervaardiging van fineer en plaatmateriaal op basis van hout";4
"1622";"162";"Vervaardiging van panelen voor parketvloeren";4
"1623";"162";"Vervaardiging van overig timmerwerk voor de bouw ";4
"16231";"1623";"Vervaardiging van deuren, ramen en kozijnen van hout";5
"16239";"1623";"Vervaardiging van overig timmerwerk voor de bouw (geen deuren, ramen en kozijnen)";5
"1624";"162";"Vervaardiging van houten emballage";4
"1629";"162";"Vervaardiging van overige artikelen van hout en van artikelen van kurk, riet en vlechtwerk (geen meubels)";4
"171";"17";"Vervaardiging van papierpulp, papier en karton";3
"1711";"171";"Vervaardiging van papierpulp";4
"1712";"171";"Vervaardiging van papier en karton";4
"17121";"1712";"Vervaardiging van grafisch papier en karton";5
"17122";"1712";"Vervaardiging van papier en karton voor verpakking";5
"17129";"1712";"Vervaardiging van papier en karton (geen grafisch en niet voor verpakking)";5
"172";"17";"Vervaardiging van papier- en kartonwaren";3
"1721";"172";"Vervaardiging van verpakkingsmiddelen van papier en karton; vervaardiging van golfpapier en -karton";4
"17211";"1721";"Vervaardiging van verpakkingsmiddelen van papier en karton";5
"17212";"1721";"Vervaardiging van golfpapier en -karton";5
"1722";"172";"Vervaardiging van huishoudelijke en sanitaire papierwaren";4
"1723";"172";"Vervaardiging van kantoorbenodigdheden van papier";4
"1724";"172";"Vervaardiging van behangselpapier";4
"1729";"172";"Vervaardiging van overige papier- en kartonwaren ";4
"181";"18";"Drukkerijen en dienstverlening voor drukkerijen";3
"1811";"181";"Drukkerijen van dagbladen";4
"1812";"181";"Overige drukkerijen";4
"18121";"1812";"Drukkerijen van boeken e.d.";5
"18122";"1812";"Drukkerijen van tijdschriften ";5
"18123";"1812";"Drukkerijen van reclame";5
"18124";"1812";"Drukkerijen van verpakkingen";5
"18125";"1812";"Drukkerijen van formulieren";5
"18129";"1812";"Overige drukkerijen (rest) ";5
"1813";"181";"Prepress- en premedia-activiteiten";4
"1814";"181";"Grafische afwerking en overige activiteiten verwant aan de drukkerij ";4
"182";"18";"Reproductie van opgenomen media";3
"1820";"182";"Reproductie van opgenomen media";4
"191";"19";"Vervaardiging van cokesovenproducten";3
"1910";"191";"Vervaardiging van cokesovenproducten";4
"192";"19";"Aardolieverwerking";3
"1920";"192";"Aardolieverwerking";4
"19201";"1920";"Aardolieraffinage";5
"19202";"1920";"Aardolieverwerking (geen -raffinage)";5
"201";"20";"Vervaardiging van chemische basisproducten, kunstmeststoffen en stikstofverbindingen en van";3
"2011";"201";"Vervaardiging van industriële gassen";4
"2012";"201";"Vervaardiging van kleur- en verfstoffen";4
"2013";"201";"Vervaardiging van overige anorganische basischemicaliën ";4
"2014";"201";"Vervaardiging van overige organische basischemicaliën ";4
"20141";"2014";"Vervaardiging van petrochemische producten";5
"20149";"2014";"Vervaardiging van overige organische basischemicaliën (geen petrochemische producten)";5
"2015";"201";"Vervaardiging van kunstmeststoffen en stikstofverbindingen";4
"2016";"201";"Vervaardiging van kunststof in primaire vorm";4
"2017";"201";"Vervaardiging van synthetische rubber in primaire vorm";4
"202";"20";"Vervaardiging van verdelgingsmiddelen en overige landbouwchemicaliën";3
"2020";"202";"Vervaardiging van verdelgingsmiddelen en overige landbouwchemicaliën";4
"203";"20";"Vervaardiging van verf, vernis e.d., drukinkt en mastiek";3
"2030";"203";"Vervaardiging van verf, vernis e.d., drukinkt en mastiek";4
"204";"20";"Vervaardiging van zeep, wasmiddelen, poets- en reinigingsmiddelen, parfums en cosmetica";3
